Question Number,Question,Good Answer,False Answer 1,False Answer 2,False Answer 3,Answer Explanation
1,"Question 1: If all birds can fly, and sparrows are birds, which of the following must be true?",Sparrows can fly.,Some birds cannot fly.,All sparrows can swim.,All birds are sparrows.,"Valid syllogism: sparrows are birds, all birds fly → sparrows fly"
2,"Question 2: A new study finds that cities with more public parks have lower crime rates. Which of the following, if true, most weakens the conclusion that building more parks reduces crime?",Cities with more parks also have higher employment rates.,Crime rates are higher in cities with fewer green spaces.,Some parks are located in unsafe areas.,Parks provide places for people to gather.,High employment could explain lower crime independently of parks
3,"Question 3: If no dogs are cats and all cats are mammals, which of the following must be true?",No dogs are cats.,All dogs are cats.,Some mammals are dogs.,No cats are mammals.,Given: No dogs are cats; all cats are mammals
4,Question 4: Our company should switch to remote work because employees will be happier and productivity will increase. Which of the following is an assumption required by the argument?,Happiness and productivity are linked.,Employees dislike commuting.,Remote work always improves productivity.,Managers prefer working remotely.,Assumes happiness relates to productivity
5,"Question 5: All professional chefs are good cooks. James is a good cook. Therefore, James is a professional chef. Which of the following best describes the flaw?",It confuses necessary and sufficient conditions.,It assumes cause and effect are the same.,It assumes that all good cooks must be professional chefs.,It ignores other factors.,Good cook ≠ professional chef; mixes necessary & sufficient
6,"Question 6: A survey showed that people who drank coffee every day reported higher alertness. Therefore, drinking coffee every day causes higher alertness. Which of the following most weakens the conclusion?",People who are naturally alert are more likely to drink coffee.,Many people like the taste of coffee.,Alertness levels vary during the day.,Coffee drinking is a common habit.,Reverse causation: alert people choose coffee
7,Question 7: A movie reviewer writes: 'This movie is bad because it is terrible.' Which logical fallacy is present?,Circular reasoning,False cause,Ad hominem,False dilemma,Circular definition of bad = terrible
8,"Question 8: Which one of the following statements is logically equivalent to 'If it snows, then school will close'?","If school does not close, then it did not snow.",School closes if and only if it snows.,"If school closes, it snowed.",Snow is the only reason for school to close.,Contrapositive is logically equivalent
9,Question 9: A politician argues: 'We should not increase taxes because higher taxes are bad.' Which flaw is present in this argument?,It assumes the conclusion in its premise.,It appeals to authority.,It attacks the person instead of the issue.,It draws a false analogy.,Assumes premise equals conclusion
10,"Question 10: Some athletes are musicians. All musicians are creative. Therefore, some athletes are creative. Which of the following describes the reasoning?","Valid, because at least some athletes who are musicians are creative.","Invalid, because not all athletes are musicians.",Valid only if all athletes are musicians.,"Invalid, because creativity is unrelated to athletics.",Valid reasoning: some athletes are musicians → those athletes are creative
11,"Question 11: A company implemented flexible work hours and found higher productivity. Which of the following, if true, most weakens the claim that flexible work hours cause higher productivity?",The company also introduced performance bonuses at the same time.,Productivity was already rising.,Employees like flexible work arrangements.,Other companies without flexible hours have lower productivity.,Bonus policy could cause productivity rise
12,Question 12: Which of the following arguments commits the flaw of confusing correlation with causation?,"People who eat breakfast daily tend to weigh less, so eating breakfast causes weight loss.",All cats are animals.,"If it rains, the streets get wet.",Some birds migrate south in winter.,Correlation does not prove causation
13,Question 13: Most students who study at night perform better on exams. Which of the following must be assumed for this argument to hold?,Other factors like prior knowledge do not affect performance.,Students who study during the day do not perform well.,Nighttime study sessions are more effective than daytime ones.,All students can stay awake late at night.,Assumes other factors are constant
14,"Question 14: Which of the following is the contrapositive of 'If someone is a teacher, then they are educated'?","If someone is not educated, then they are not a teacher.",Only teachers are educated.,"If someone is educated, then they are a teacher.","If someone is not a teacher, they might still be educated.",Contrapositive: not educated → not teacher
15,"Question 15: Which of the following best completes the argument? 'All new employees must attend training. Sarah is a new employee, so _____.'",Sarah must attend training.,Sarah cannot attend training.,Training is optional for Sarah.,Sarah might attend training.,Universal rule applies: Sarah must attend
16,"Question 16: No books on this shelf are novels. All novels are fiction. Therefore, which of the following must be true?",No books on this shelf are fiction.,All fiction books are on this shelf.,All books on this shelf are novels.,Some books on this shelf are fiction.,No novels → no fiction if all novels are fiction
17,Question 17: Which of the following arguments is valid?,"All squares are rectangles. This shape is a square. Therefore, this shape is a rectangle.","All doctors are scientists. Emily is a scientist. Therefore, Emily is a doctor.","Some students are athletes. John is an athlete. Therefore, John is a student.","All cats are animals. Fluffy is an animal. Therefore, Fluffy is a cat.",Square → rectangle is valid syllogism
18,Question 18: A store raised prices but saw higher sales revenue. Which of the following best explains this?,"The store's products are luxury items, and higher prices suggest higher quality.",Competitors lowered prices significantly.,The store had fewer customers than before.,Customers decided to shop elsewhere.,Luxury goods sell more with higher prices
19,Question 19: A study found that students who take notes by hand remember more information than those who type notes. Which of the following best explains this?,Students who write notes process information more deeply.,Handwritten notes are difficult to read.,Typing notes saves time.,Students who type notes type faster.,Deep processing → better retention
20,Question 20: A company claims: 'Our product is the best because no other product is better.' Which flaw is present?,Begging the question,False analogy,Appeal to authority,Faulty generalization,Begging the question: conclusion in premise
21,"Question 21: If all lawyers are professionals and some professionals are teachers, which statement must be true?",Some professionals are lawyers.,No professionals are lawyers.,No lawyers are teachers.,Some lawyers are teachers.,Lawyers are subset of professionals
22,"Question 22: Which of the following arguments is most similar in reasoning to: 'All roses are flowers. Some flowers fade quickly. Therefore, some roses fade quickly.'","All mammals are animals. Some animals are large. Therefore, some mammals are large.","All cars are vehicles. Some vehicles are red. Therefore, all cars are red.","All birds can fly. Some insects can fly. Therefore, some birds are insects.","All squares are shapes. Some shapes are circles. Therefore, some squares are circles.",Same structure: subset within larger group
23,Question 23: Which of the following best identifies a necessary assumption in the argument? 'Introducing a reading program will improve literacy rates in the city.',The reading program will be effectively implemented.,Other cities have used similar programs.,Everyone in the city will attend the program.,The city has a high illiteracy rate.,Assumes implementation is effective
24,"Question 24: Which of the following, if true, most strengthens the claim: 'Eating more vegetables improves overall health'?",A long-term study found people who ate more vegetables had fewer health problems.,Doctors recommend eating vegetables.,People enjoy eating vegetables.,Vegetables are low in calories.,Direct evidence supports claim
25,Question 25: A student claims: 'I failed my exam because I didn't study enough.' Which of the following is an alternative explanation?,All of the above.,The student forgot to set an alarm.,The exam was graded unfairly.,The exam was difficult for everyone.,All are plausible alternative causes
26,Question 26: Which of the following best illustrates a false dilemma?,You either support this law or you are against progress.,"This medicine worked for my friend, so it must work for me.",Some people are allergic to peanuts.,Most cats are friendly.,False dilemma: only two options given
27,"Question 27: Most successful businesses invest in advertising. Therefore, advertising guarantees success. Which flaw is committed?",Overgeneralization,Confusing cause with correlation,Appeal to popularity,False analogy,Assumes advertising guarantees success
28,Question 28: Which of the following is logically equivalent to: 'No students who failed the exam received an A in the class'?,All students who received an A in the class passed the exam.,No students who passed the exam received an A.,Only failing students received an A.,Some students who received an A failed the exam.,Equivalent contrapositive statement
29,Question 29: All actors are artists. Some artists are painters. Which of the following must be true?,Some artists are actors.,Some painters are actors.,All artists are actors.,Some actors are painters.,"Actors ⊂ artists, so some artists = actors"
30,"Question 30: If the car does not start, then either the battery is dead or there is no fuel. Which of the following is logically equivalent?","If the battery is not dead and there is fuel, then the car will start.",The car will start if the battery is dead or there is fuel.,"If there is no fuel, the battery must be dead.","If the battery is dead, the car will start.",Contrapositive of original conditional